"","lga","lat","lon","state_id","lga_name","c_lga","size","c_lat","c_lon","dist"
"1","10050",-36.01494172,146.95684397,"1","Albury (C)","17200",30,-33.88762608,151.20426565,454.040145926837
"2","10110",-30.58123858,151.87485213,"1","Armidale Dumaresq (A)","17200",30,-33.88762608,151.20426565,372.053291242584
"3","10150",-33.88860879,151.13142408,"1","Ashfield (A)","17200",30,-33.88762608,151.20426565,6.7391441247327
"4","10200",-33.854303215,151.04812421,"1","Auburn (C)","17200",30,-33.88762608,151.20426565,14.9121981717864
"5","10250",-28.85273249,153.485678755,"1","Ballina (A)","17200",30,-33.88762608,151.20426565,598.901210000779
"6","10300",-34.04406181,143.57079464,"1","Balranald (A)","17200",30,-33.88762608,151.20426565,705.548553921109
"7","10350",-33.92383697,151.020753985,"1","Bankstown (C)","17200",30,-33.88762608,151.20426565,17.4411730449901
"8","10470",-33.47309668,149.51956125,"1","Bathurst Regional (A)","17200",30,-33.88762608,151.20426565,162.844684051631
"9","10550",-36.81645839,149.72059821,"1","Bega Valley (A)","17200",30,-33.88762608,151.20426565,351.804126430998
"10","10600",-30.37394254,152.724922255,"1","Bellingen (A)","17200",30,-33.88762608,151.20426565,415.193333037156
"11","10650",-35.751916545,145.669841775,"1","Berrigan (A)","17200",30,-33.88762608,151.20426565,546.833188117069
"12","10750",-33.74015952,150.86252712,"1","Blacktown (C)","17200",30,-33.88762608,151.20426565,35.6179984583784
"13","10800",-33.919041155,146.927172,"1","Bland (A)","17200",30,-33.88762608,151.20426565,395.572158869179
"14","10850",-33.616531255,149.13046309,"1","Blayney (A)","17200",30,-33.88762608,151.20426565,194.477596562106
"15","10900",-33.63202822,150.412930625,"1","Blue Mountains (C)","17200",30,-33.88762608,151.20426565,78.6028656889467
"16","10950",-31.570121885,146.906164205,"1","Bogan (A)","17200",30,-33.88762608,151.20426565,477.815113975069
"17","11000",-36.91100803,148.952737265,"1","Bombala (A)","17200",30,-33.88762608,151.20426565,392.844536759522
"18","11050",-34.28789584,148.842326495,"1","Boorowa (A)","17200",30,-33.88762608,151.20426565,222.452581069263
"19","11100",-33.946600035,151.19873864,"1","Botany Bay (C)","17200",30,-33.88762608,151.20426565,6.56138051376699
"20","11150",-29.99584324,145.36159232,"1","Bourke (A)","17200",30,-33.88762608,151.20426565,700.780594054767
"21","11200",-29.95054554,147.147601405,"1","Brewarrina (A)","17200",30,-33.88762608,151.20426565,581.071659418554
"22","11250",-31.95146712,141.478186545,"1","Broken Hill (C)","17200",30,-33.88762608,151.20426565,934.344561267456
"23","11300",-33.885365155,151.10481931,"1","Burwood (A)","17200",30,-33.88762608,151.20426565,9.20294767687763
"24","11350",-28.613347895,153.48406816,"1","Byron (A)","17200",30,-33.88762608,151.20426565,623.743085562833
"25","11400",-33.11075906,148.82694091,"1","Cabonne (A)","17200",30,-33.88762608,151.20426565,237.11045954249
"26","11450",-34.016104835,150.72521592,"1","Camden (A)","17200",30,-33.88762608,151.20426565,46.5184884490592
"27","11500",-34.07389754,150.838770975,"1","Campbelltown (C)","17200",30,-33.88762608,151.20426565,39.5924897988484
"28","11520",-33.84855028,151.121432435,"1","Canada Bay (A)","17200",30,-33.88762608,151.20426565,8.80500497409333
"29","11550",-33.922294195,151.096888735,"1","Canterbury (C)","17200",30,-33.88762608,151.20426565,10.6495291960736
"30","11600",-33.625704785,145.425235775,"1","Carrathool (A)","17200",30,-33.88762608,151.20426565,536.128464621805
"31","11700",-31.77154872,143.625688895,"1","Central Darling (A)","17200",30,-33.88762608,151.20426565,747.168838382092
"32","11720",-32.89390757,151.21233901,"1","Cessnock (C)","17200",30,-33.88762608,151.20426565,110.217312334336
"33","11730",-29.694435505,152.78156416,"1","Clarence Valley (A)","17200",30,-33.88762608,151.20426565,488.340170547755
"34","11750",-31.96612886,145.36063566,"1","Cobar (A)","17200",30,-33.88762608,151.20426565,586.51118158889
"35","11800",-30.17293967,153.032625105,"1","Coffs Harbour (C)","17200",30,-33.88762608,151.20426565,446.628806028521
"36","11860",-35.233868715,144.823490945,"1","Conargo (A)","17200",30,-33.88762608,151.20426565,604.202178735771
"37","12000",-34.60046325,147.13707117,"1","Coolamon (A)","17200",30,-33.88762608,151.20426565,382.89203864582
"38","12050",-36.13466717,149.070646205,"1","Cooma-Monaro (A)","17200",30,-33.88762608,151.20426565,316.319521076284
"39","12150",-30.867139055,148.290530355,"1","Coonamble (A)","17200",30,-33.88762608,151.20426565,432.819399286332
"40","12200",-34.587569555,148.02042362,"1","Cootamundra (A)","17200",30,-33.88762608,151.20426565,303.403516656575
"41","12300",-35.817039705,146.32747778,"1","Corowa Shire (A)","17200",30,-33.88762608,151.20426565,494.609113239748
"42","12350",-33.81137887,148.783458735,"1","Cowra (A)","17200",30,-33.88762608,151.20426565,224.193731321391
"43","12500",-35.52908082,144.97316592,"1","Deniliquin (A)","17200",30,-33.88762608,151.20426565,599.044614798378
"44","12600",-32.269798055,148.69571717,"1","Dubbo (C)","17200",30,-33.88762608,151.20426565,295.031675890356
"45","12700",-32.346189165,151.611220465,"1","Dungog (A)","17200",30,-33.88762608,151.20426565,175.123188399745
"46","12750",-35.93307465,149.92780384,"1","Eurobodalla (A)","17200",30,-33.88762608,151.20426565,255.140757512524
"47","12850",-33.867420725,150.901049645,"1","Fairfield (C)","17200",30,-33.88762608,151.20426565,28.1420583049596
"48","12900",-33.378983585,147.8644756,"1","Forbes (A)","17200",30,-33.88762608,151.20426565,314.943631531338
"49","12950",-31.63297324,148.7035496,"1","Gilgandra (A)","17200",30,-33.88762608,151.20426565,342.655537130318
"50","13010",-29.63115906,151.939567635,"1","Glen Innes Severn (A)","17200",30,-33.88762608,151.20426565,477.077383467054
"51","13050",-31.8878886,151.77597944,"1","Gloucester (A)","17200",30,-33.88762608,151.20426565,228.135301055101
"52","13100",-33.340299505,151.234550045,"1","Gosford (C)","17200",30,-33.88762608,151.20426565,60.7719833383215
"53","13310",-34.902495695,149.90199803,"1","Goulburn Mulwaree (A)","17200",30,-33.88762608,151.20426565,164.356249031328
"54","13320",-32.387839555,152.110353265,"1","Great Lakes (A)","17200",30,-33.88762608,151.20426565,186.587211736632
"55","13340",-35.758369205,147.19731192,"1","Greater Hume Shire (A)","17200",30,-33.88762608,151.20426565,421.188575154791
"56","13380",-31.804911375,152.27954314,"1","Greater Taree (C)","17200",30,-33.88762608,151.20426565,251.953391422352
"57","13450",-34.3344757,146.022946705,"1","Griffith (C)","17200",30,-33.88762608,151.20426565,480.560162059441
"58","13500",-35.026230875,148.13457432,"1","Gundagai (A)","17200",30,-33.88762608,151.20426565,309.033460421387
"59","13550",-31.024041105,150.11547694,"1","Gunnedah (A)","17200",30,-33.88762608,151.20426565,333.642506696612
"60","13650",-30.17580568,151.67893824,"1","Guyra (A)","17200",30,-33.88762608,151.20426565,414.027820287901
"61","13660",-29.49806226,150.53813099,"1","Gwydir (A)","17200",30,-33.88762608,151.20426565,490.798149543039
"62","13700",-34.628742585,148.405720305,"1","Harden (A)","17200",30,-33.88762608,151.20426565,270.538982115631
